Feature,RF_Importance,F_Score
"('tonnetz', 'kurtosis.4')",0.0013298068224854504,905.1997458599619
"('chroma_stft', 'mean.8')",0.0013271783938120765,3561.5679555184456
"('tonnetz', 'kurtosis.5')",0.001326118284248557,645.917417909159
"('chroma_stft', 'kurtosis.6')",0.0013215393509118099,129.72848933805037
"('chroma_cqt', 'min.5')",0.0013167291917800406,869.0619339947498
"('chroma_cqt', 'std.10')",0.001313306198043676,1852.5086686916484
"('chroma_cqt', 'kurtosis.6')",0.0013131997188700064,1362.1430430965177
"('tonnetz', 'max')",0.0013107417630833398,1626.257460576436
"('chroma_stft', 'median.9')",0.0013001582605555342,3582.613943584303
"('chroma_cens', 'std.8')",0.0012882273849210138,1666.6576833250783
"('chroma_cqt', 'std.9')",0.0012861580567642339,1457.4608208197467
"('tonnetz', 'min')",0.0012822822026826086,1342.9451016646801
"('mfcc', 'skew.14')",0.0012820299615488358,738.5311000037862
"('chroma_stft', 'std.8')",0.001279955541168723,577.6122141546347
"('chroma_stft', 'std.3')",0.0012785309645346502,1093.6237038977556
"('chroma_stft', 'std')",0.0012771474567106153,1086.3033008835043
"('tonnetz', 'min.2')",0.001275694009588399,2231.3390346749575
"('chroma_cens', 'skew.3')",0.0012739400824108857,379.1209194938182
"('chroma_stft', 'min.8')",0.0012718224995227725,482.1001237374218
"('spectral_contrast', 'max.4')",0.0012714903677800307,1454.2671958759047
"('chroma_stft', 'skew.5')",0.0012669301649188116,3114.396801310704
"('chroma_cens', 'std.11')",0.0012642701415754656,1510.4033523971627
"('chroma_cens', 'std.10')",0.0012601894913248743,1806.0416762008367
"('chroma_cqt', 'std.1')",0.0012582168612598772,1738.3206853792567
"('mfcc', 'kurtosis.15')",0.0012563695464237168,845.6987692407912
"('chroma_cens', 'skew.7')",0.0012561229761347032,965.3427148333501
"('chroma_cens', 'std.4')",0.0012545943580897936,2025.4140972677963
"('chroma_stft', 'kurtosis.11')",0.001253970357509725,13.172464177968546
"('chroma_cens', 'max.9')",0.0012538924466612032,1325.4003519943924
"('tonnetz', 'median')",0.0012497633753635914,830.7895030228633
"('mfcc', 'skew.13')",0.001249417941848598,1069.7970483375
"('chroma_cqt', 'kurtosis.3')",0.0012485664267205176,337.2080080363341
"('mfcc', 'skew.10')",0.0012471615711622543,828.9040882851866
"('chroma_stft', 'std.9')",0.0012466187700149113,675.6927447946574
"('chroma_cqt', 'kurtosis.2')",0.001245372074254281,53.061558691185894
"('chroma_cens', 'kurtosis.9')",0.0012452492079638436,45.46799912054354
"('chroma_cens', 'std.1')",0.0012413616625252997,2134.2968661754007
"('chroma_cens', 'max')",0.0012410839572701872,1087.079486193484
"('chroma_stft', 'mean.2')",0.0012349993551475642,3447.4260871947777
"('spectral_contrast', 'min.5')",0.001227368540208915,933.2304905948736
"('chroma_stft', 'min.7')",0.0012238042789477802,528.5562601767629
"('chroma_stft', 'mean.6')",0.0012230210728412215,4771.810336944596
"('chroma_cqt', 'std.7')",0.001219701728372279,1750.7100309812593
"('chroma_cqt', 'kurtosis.7')",0.00121187866892893,14.175795834359109
